,TOPICS,BODY
9197,'earn',note earnings include gain dlrs share versus gain dlrs share first quarter earnings share reflects stock dividend form class common stock distribution june reuter 
4664,'earn',dlrs dlrs diluted dlrs dlrs sales billion billion shrs note funds includes equity earnings pont dlrs dlrs dividend income pont shares dlrs dlrs latest year includes pretax charge dlrs sale wine operations reorganization spirits operations related reduction expense dlrs reuter 
3168,'earn',loss loss loss loss revs reuter 
12797,'earn',revs shrs note full name company harman international industries reuter 
10144,'earn',revs shrs note share results reflect payment preferred dividend requirements reuter 
2930,'earn',counsel corp said plans three stock split pending shareholder approval april annual meeting company said recently reported profit dlrs dlrs share extraordinary items compared dlrs reuter 
2459,'earn',intelligent systems master limited partnership said make cash distribution unit early april unitholders record march company said continued strength results prompted move intelligent systems added current plans sell assets previously announced successful make distributions estimated unit earlier company reported fiscal third quarter ended december income dlrs share fiscal third quarter results dlrs five share addition reported fiscal nine months income dlrs share versus loss dlrs share fiscal first three quarters reuter 
9132,'earn',loss loss loss loss revs year dlrs loss loss revs note atlas consolidated mining development corp manila translated philippine pesos pesos dollar quarter year reuter 
10013,'earn',revs billion shrs reuter 
1123,'earn',revs year dlrs revs note profit relates class voting shares reuter 
827,'earn',florida public utilities said board declared three stock split common stock said holders record april receive additional share shares held company also said raised dividend common stock share split basis dividend payable april holders record march reuter 
3470,'earn',eight revs shrs reuter 
12897,'earn',dlrs nine mths dlrs dlrs reuter 
12606,'earn',nine mths dlrs loans deposits billion assets billion billion reuter 
898,'earn',sales reuter 
4043,'earn',profit loss profit loss revs mths profit loss profit loss revs note quarter ends january excludes extraordinary gain share quarter months excludes discontinued operations loss share quarter loss months company owned electro audio dynamics reuter 
1131,'earn',oper profit loss oper profit loss revs year oper profit loss oper profit loss revs note oper excludes dlrs dlrs share respectively realized investment gains oper also excludes dlrs dlrs respectively loss carryforwards oper excludes realized investment gains dlrs share dlrs share respectively oper also excludes loss dlrs carryforward reuter 
2815,'earn',paradise fruit said board declared dividend share payable march holders record march company last paid share january paid january paradise said commercial bank lending agreements entered june include retained earnings requirements limit amount earnings available distribution shareholders reuter 
4582,'earn',deutsche babcock dbcg expects profits rise current financial year ending september although earnings level still unsatisfactory managing board chairman helmut wiehn said told news conference business year weakened somewhat still generally positive sales first five months february billion marks period however expected turnover year approximately unchanged previous years billion marks current orders major projects booked wiehn said incoming orders first five months february totalled billion marks compared billion period included increase domestic orders billion marks orders hand five months higher billion marks wiehn added babcock still aiming three yield turnover year september group profits totalled marks sales billion previous years billion marks parent company turnover unchanged marks wiehn said babcocks liquidity clearly improved current business year financial reserves first five months rising marks increasing marks said earnings share according dvfa method marks marks earnings rose marks company earlier said dividend unchanged three marks ordinary shares marks preference shares reuter 
12934,'earn',revs nine months revs note share share data adjusted reflect stock dividend distrition april public offier shares ofthe company june reuter 
349,'earn',sales shrs five year sales shrs five reuter 
7487,'earn',dlrs dlrs qtly four four prior revs billion shrs note cash dividend payable april holders record april figures adjusted five stock dividend declared march reuter 
5354,'earn',loss loss loss loss sales reuter 
8623,'earn',first quarter anchor financial corp nine months biomet federal dlrs richardson electronics year industries oper loss loss fine acquisitions mangood corp oper loss dlrs loss reuter 
3458,'earn',tesco tsco said statement expects profits year ending february nine property profits compares pretax profits property sales previous year said forecast formal offer document sent hillards shareholders today march tesco launched hillards offer tesco ordinary shares every hillards ordinary shares valued hillards ordinary share reuter 
4348,'earn',corp said expects post higher sales earnings fiscal year ended february officially reports results three weeks said preliminary figures show total sales dlrs dlrs fiscal year earnings continuing operations rose dlrs almost dlrs share earnings continuing operations dlrs dlrs additional shares outstanding reuter 
5039,'earn',endotronics said target formal private investigation securities exchange commission well federal bureau investigation company also said independent accounts peat marwick mitchell served notice report endotronics financial statements sept year ended longer relied upon endotronics said notice accountants stated satisfy true facts situation degree necessary continue associated consolidated financial statements endotronics recently reported reviewing need establish reserve portion approximately dlrs overdue accounts receivable assess impact prior period financial statements light dispute japanese distributors payment overdue accounts endotronics said providing documentation securities exchange commission connection agencys investigation also said michael gruenberg resigned companys board directors reuter 
4157,'earn',audi nsug owned subsidiary volkswagen vowg said profit fell around half compared achieved record marks profit rise previous year managing board chairman wolfgang habbel told news conference expected profit turnover rise year compared said questionable whether profit would return levels gave figure profit audi predicted last year profit would likely fall unspecified amount record levels habbel said turnover rose billion marks billion looked certain rise billion year asked whether audi would dividend help parent company overcome currency losses habbel said audi would ensure share profits audis entire profit paid free reserves help finance investment previous years received audis earnings dividend habbel blamed profit decline disruptions output caused introduction audi model currency factors negative publicity alleged sudden acceleration audi models reported audis sales dropped nearly last year habbel said sales decline would probably bottom audis worldwide deliveries fell total exports fell rounded domestic sales increased rounded habbel said audi sold extremely well first months helping audi increase overall market share west germany months sales europe also rose sales fell said without giving details worldwide deliveries first months increased eight audi said january production would rise output fallen compared habbel said audi expected rise output lead hiring employees audis workforce stood record rise reuter 
7676,'earn',sales shares first half sales shrs reuter 
3348,'earn',bearer shares schweizerische aluminium aluz alusuisse fell sharply trading resumed suspension friday firm disclosed plans capital bearers held mainly foreign investors dropped swiss francs volume particularly heavy registered shares less affected slipping five participation certificates fell francs alusuisse made loss francs restated loss capital company said could break even year reuter 
6302,'earn',revs shrs note company owns bramalea reuter 
10273,'earn',convergent technologies said expects report first quarter loss twice size loss reported fourth quarter convergent reported first quarter profit dlrs five share company said results declined quarter traditional business business systems group anticipated loss reflects lower expected operating margins start costs product manufacturing higher planned expenses reuter 
1227,'earn',jaguar jagr sell model japanese markets expects strong reception based success chairman john egan told news conference commenting growth group turnover profits slightly egan said jaguar aimed average profit growth year however introduction model kept years profit jaguar starts selling plans sell total production sales account total turnover finance director john edwards said price edwards said relatively high prices dollars west german competitors offered umbrella jaguar added also compete luxury producers would restrict cars price jaguar hedges majority dollar receipts month rolling basis plans larger part receipts longer periods john egan said longer term capital expenditure amount sales research development cost four sales training jaguar builds half cars buys components half firm early stages considering building press shop britain egan said would take least another three years london stock exchange jaguars shares last quoted yesterdays close reporting results line market expectations dealers said reuter 
9467,'earn',period ended revs year dlrs dlrs revs shrs reuter 
6415,'earn',qtly prior april record april seven reuter 
7596,'earn',consolidated profit deduction minorities billion francs billion consolidated profit billion francs billion note results year companys full name groupe bruxelles lambert lamb proposed final dividend ordinary shares francs take total payment year francs reuter 
5086,'earn',qtly prior april record march reuter 
6060,'earn',tcby enterprises said board approved three split common stock distribution made april stockholders record april split increase number outstanding shares shares company said tcby enetrprises franchisor operator retail stores specializing frozen yogurt related treats reuter 
8511,'earn',dlrs dlrs revs note preferred dividends corp owns canada common shares reuter 
8436,'earn',revs nine mths revs reuter 
7082,'earn',loss profit loss profit revs nine mths loss profit loss profit revs reuter 
1013,'earn',qtly prior april record march reuter 
4627,'earn',ended january profit loss sales shrs mths loss loss loss loss sales shrs reuter 
7373,'earn',qtrly prior payable april record april note full name company real estate trust investment reuter 
611,'earn',marketing refining british petroleum raised pretax operating profit replacement cost basis calendar compared sales operating revenue fell billion billion replacement cost basis historical cost operating profit said profits depressed exceptional items profit figures stated interest charges chief executive david kendall said improved results mirrored benefits restructuring program undertaken recent years however warned future financial pressure industry severe marketing refining industry need invest larger sums probably around year good many years said statement reuter 
10373,'earn',dlrs dlrs revs shrs mths dlrs dlrs revs billion billion shrs reuter 
7677,'earn',oper loss dlrs loss dlrs oper loss loss revs year oper loss dlrs loss dlrs doper loss loss revs note operating losses exclude profits dlrs dlrs share quarter dlrs dlrs share year discontinued operations loss periods includes charge dlrs write properties year loss includes charge dlrs write properties reuter 
3329,'earn',pearson pson said recent sale fairey engineering companies management part policy concentrating four sectors statement results company said information entertainments sectors financial times newspaper record sales profits subject investment programme printing publishing operation moving plant london docklands next year sectors merchant banking china commenting camco service subsidiary pearson said believes business setback temporary group acquiring properties britain begin make significant impact profits east operations fine china subsidiary royal doulton expanded wake record recent sales japan added pearson reported profit turnover fell reuter 
3373,'earn',diluted revs half diluted revs billion billion reuter 
2551,'earn',loss dlrs loss revs year loss dlrs loss dlrs loss revs note year loss includes dlrs dlrs respectively discontinued year include loss respectively reuter 
382,'earn',mthly prior march record march reuter 
3538,'earn',vishay intertechnology said board declared stock dividend payable april holders record march company said stock dividend paid holders commons tock exchange class stock vishays current exchange offer expires march reuter 
1284,'earn',shares polaroid corp rose following reiterated recommendation merrill lynch focused strong earnings momentum company traders said recommending stock since reiterated today expectations strong earnings momentum benefits lower dollar anticipation nice gains margins merrill lynch analyst charles ryan said said negative opinion another brokerage house hurt stock wednesday bought relatively bargain price today ryan said always look polaroid weakness volatile stock caught weakness polaroids stock gained point early morning trading three points wednesday morning closing polaroid working overtime production cameras film expect first quarter earnings ryan said estimating earnings share first quarter compared share earned year earlier expects company earn four dlrs share compared dlrs share last year reuter 
5084,'earn',navistar international corps stock rose brokerage house sanford bernstein raised earnings estimate company based expectations better truck orders truck tonnage traders said navistar active list gain volume shares traders familiar opinion said david eisenberg director sanford bernstein institutional strategy committee raised earnings estimates share current fiscal year ending october expects navistar earn dlrs share next year company lost share eisenberg unavailable comment reuter 
7456,'earn',loss dlrs loss loss loss revs notel company changed fiscal year december prior year includes gain dlrs sale minority interests connecticut partnerships reuter 
9326,'earn',year consolidated profit swiss francs dividend francs registered share francs francs participation certificate eight consolidated turnover billion francs billion parent company profit francs parent company turnover billion francs billion note companys full name gebrueder sulzer sulz reuter 
5706,'earn',oper oper revs nine mths oper oper revs note prior year excludes credits dlrs quarter dlrs nine mths prior nine mths includes gain sale real estate dlrs reuter 
8022,'earn',loss profit eight loss profit revs nine months loss profit loss profit revs reuter 
3226,'earn',loss profit loss profit revs shrs year loss loss three loss loss revs shrs reuter 
7401,'earn',revs year revs note inludes gain dlrs sale real estate reuter 
2812,'earn',profit profit profit profit sales year profit dlrs loss dlrs profit loss sales reuter 
5637,'earn',sales nine mths oper oper sales note current nine mths excludes gain termination pension plan reuter 
12654,'earn',revs nine mths revs reuter 
9530,'earn',qtly eight prior june four record reuter 
8861,'earn',artistic greetings said expects rebound profits increase sales costs connected computerization staffing traning catalog sales start taper today reported earnings dlrs dlrs year revenues dlrs dlrs reuter 
12423,'earn',sales nine mths dlrs dlrs sales reuter 
12935,'earn',sales year dlrs dlrs sales note share adjusted february three split prior year results restated reuter 
5344,'earn',profit loss profit loss sales year loss loss loss sales reuter 
5094,'earn',oper oper revs note oper excludes loss dlrs profit dlrs respectively discontinued operations earnings restated reflect stock split effective july reuter 
11998,'earn',oper three oper sales nine mths oper eight oper sales note oper data include extraordinary gains loss carryforwards dlrs dlrs dlrs four dlrs four nine mths reuter 
4719,'earn',scott stringfellow financial said declared first quarterly dividend three cents share payable april shareholders record april reuter 
2750,'earn',flavours fragrances firm naarden international acquired anglo dutch food detergents group unilever last year said profits fell guilders naarden said earnings fall value dollar sterling noting figure line prior expectations profit guilders earnings share fell guilders turnover naarden cash dividend guilders unchanged last year without last years share option payment reuter 
5021,'earn',seven sales reuter 
4653,'earn',qtly nine eight prior payable july record june reuter 
127,'earn',marshall steel formerly marshall drummond mccall said report gain taxes year sale drummond mccall division sold effective january reuter 
7781,'earn',loss loss dlrs loss loss revs year loss loss dlrs loss loss revs note results restated reflects equity investment welltech month ended investment american well servicing months ended full year include loss dlrs dlrs respectively equity welltech predecessor operations reuter 
10275,'earn',revs reuter 
3812,'earn',sales shrs year dlrs sales shrs reuter 
10122,'earn',profit loss profit loss sales shrs reuter 
3213,'earn',qtly prior march record march reuter 
5795,'earn',loss loss loss loss revs year loss dlrs loss loss loss revs reuter 
10230,'earn',national city bancorp said directors annual meeting declared stock dividend payable record april reuter 
6325,'earn',sales shrs half sales billion billion shrs note twelve week periods reuter 
6161,'earn',prior april record april reuter 
380,'earn',semi prior march record march reuter 
2220,'earn',final making profit profit befire minorities sales billion billion extraordinary debit trading surplus depreciation investment interest income interest payable profits related companies less losses profit attributable outside shareholders interests note extraordinary debit included charge restructuring auto parts distribution france loss sale steel stock business trading surplus comprised automotive components products industrial services supplies wholesale industrial distribution steels forgings four region britain contributed continental europe rest world seven four reuter 
7988,'earn',loss dlrs profit five loss profit revs year loss dlrs profit loss profit revs note includes write dlrs writdown assets dlrs year includes dlrs writedown reuter 
3679,'earn',atcor said magnitude earnings recovery fiscal depends direction steel pricing fast companys severe operating problems consumer segment resolved atcors consumer segment represents sales letter shareholders company said part business continues unprofitable atcor said expect performance improvements first quarter sustained throughout year increasing material costs reuter 
9500,'earn',qtly prior june record reuter 
9502,'earn',revs mths sdhr revs reuter 
6472,'earn',qtly prior april record april reuter 
6979,'earn',metromail corp said expects earnings year flat higher expenses caused expansion data processing capabilities startup costs associated cooperative programs continue fourth quarter company today reported earnings nine months ended march dlrs dlrs year last year earned dlrs reuter 
10231,'earn',assets deposits loans note share amounts adjusted stock dividends reuter 
3572,'earn',oper profit loss oper profit loss revs mths oper loss loss oper loss loss revs note results exclude credits periods refinancing debt reuter 
4420,'earn',dlrs revs reuter 
3360,'acq',harper publishers said board directors decided take action takeover bids company received instead appointed committee independent directors study strategic alternatives year firm alternatives include continuation companys existing business plans possible business combinations sales stock restructuring sale part company kidder peabody retained advise alternatives harper added private investor theodore cross last week offered dlrs share harper prompting rival dlrs share another publishing firm harcourt brace jovanovich carefully considering offers meeting friday harpers board decided directors unanimously expressed strong desire preserve companys independence take advantage considerable future prospects according director winthrop knowlton former chief executive chairman newly established independent committee however given significant current interest company also feel carefully review options available committee consider pertinent facts alternatives intend make careful informed decision proceed expeditiously conclusion knowlton said pending deliberations harper rows board postponed indefinitely special meeting stockholders scheduled april discuss proposal recapitalize companys stock order create classes shares different votinmg rights reuter 
8638,'acq',poul erik moller santa monica calif investor said raised stake first western financial corp shares total outstanding common stock shares filing securities exchange commission moller said bought first western common shares january march prices ranging dlrs share moller said bought stock long term investment plans seek control company reuter 
2780,'acq',zico investment holdings said bancroft convertible fund filed suit seeking enjoin zicos share tender offer bancroft shares complaint bancroft said tender offer materials letters shareholders false misleading tender offer violates investment company zico said suit totally without merit vigorously intends contest motion scheduled heard march reuter 
3728,'acq',schlumberger ltds decision agreement principle fujitsu itsu fairchild semiconductor corp political furore surrounded proposed sale make japanese companies cautious efforts acquire high technology firms halt attempts industry analysts said collapse deal critical blow fujitsu boost cost future expansion japanese firm said analysts polled reuters acquisition fairchild essential fujitsus north american operations would great boost james capel analyst murtha said french controlled schlumberger said yesterday ending agreement mounting political controversy made unlikely sale fairchild stake could completed reasonable time sale opposed commerce department defence department partly national security grounds fujitsus acquisition fairchild would given japanese computer maker control comprehensive north american sales distribution system access microprocessor technology area fujitsu weak analysts said deal would also given fujitsu additional microchip production facilities worldwide eight report capel firm said entry point port semiconductors marketing channel things said barclays zoete wedd analyst rick several analysts said purchase would given fujitsu access critical defence technology fairchild simply doesnt technology thats thing past said failure could blessing disguise fujitsu might spend several hundred million dollars modernise fairchilds production lines capels murtha said failure deal doubtless encourage japanese firms take lower profile attempts acquire high tech firms unlikely stop analysts said analysts said fujitsu likely costly route expanding production distribution facilities although said could estimated dlrs aside buying fairchild acquire less politically symbolic firm slow pace japanese acquisitions necessity expanding production design capacity america remains said capels murtha japanese continue shop bargains harder find ones politically acceptable japanese firms likely favour joint ventures smaller equity stakes firms avoid political backlash blocked fairchild sale analysts said theyre going slow theyre going smaller pieces political risk said barclays zoetes several japanese firms already taken shares smaller high technology firms super minicomputer makers said opposition sort blocked fujitsu could harming firms undermining trend toward multinational analysts said really benefit firms either said jardine fleming securities analyst nick edwards pooling resources semiconductors positive move government step prevent japans minister international trade industry hajime tamura told press conference interference government officials fairchild deal inappropriate entirely private sector matter matter governments comment tamura said think improper government officials intervene extent said spokesman told reuters ministrys view international investment flows ought free flows increasing importance line growing closeness japanese economic ties reuter 
1928,'acq',white engine manufacturer industrial automotive diesel gasoline engines dlrs sales said sold group group investors white engine said purchase donald stewart private investment banker along white senior executives source close transaction said purchase prices dlrs company said change name hercules engines stewart majority interest owner well president chief executive officer addition john lennon current chairman chief executive officer remain chairman company said joseph scheetz currently president vice chairman according company reuter 
8584,'acq',bayou international said acquired amalgamated equities australia dlrs bayou owned australia wide industries reuter 
12150,'acq',datacard corp said adopted dividend rights plan response deluxe check printers agreed sell interest datacard national computer systems nlcs datacard declared dividend distribution preferred stock purchase right outstanding share common stock dividend designed deter national computer potential suitors preventing datacard evaluating alternatives maximize shareholder value datacard said national computer told reuters june could make datacard june datacard filed suit hennepin county district court minnesota block sale stake stock national computer announcing rights plan datacard said designed deter takeovers would consistent objective maximizing stockholders value datacards stockholders rights become exercisable days announcement person group acquired beneficial ownership datacards common stock exercisable right would entitle holder share datacard series junior participation preferred stock dlrs holders acquirer would entitled purchase months right becomes exercisable number shares preferred stock market value equal twice exercise price rights rights dividend distribution payable july shareholders record july reuter 
1079,'acq',usair group said comment offer received trans world airlines usair dlrs cash share usair spokesman david shipley also declined comment piedmont aviation usair offered dlrs cash share half piedmonts stock dlrs stock balance piedmont also received offer norfolk southern corp dlrs cash share piedmonts board meeting today company declined agenda spokesman said could comment action norfolk southern corp spokesman said company comment twas offer usair proposal negotiate three merger usair piedmont dont details norfolk southern spokesman said companys share cash offer piedmont stands said offer said alternative merger usair would interested discussing three combination among usair piedmont said three merger would serve best interests shareholders three companies employees consumers reuter 
1098,'acq',banner industries said completed purchase rexnord common shares dlrs share cash tender offer ended purchase follows banner receiving earlier today dlrs credit agreement citicorp industries credit bank nova scotia additional dlrs offerings made banner subsidiary drexel burnham lambert result tender offer banner said approximately outstanding shares rexnord company said merger rexnord subsidiary banner completed reuter 
5767,'acq',financial corp america said holding discussions anyone regarding buyout company spokeswoman pointed financial corp said publicly nearly years companys view merger would method increasing companys capital opportunity arises strengthen capital position quickly would open spokeswoman said financial corp would need billion dlrs bring regulatory worth federal savings loan insurance corp requirements spokeswoman said addition said federal home loan bank board letter dated january stated march continue support companys efforts restructure balance sheet maintain profitable operations augment worth reuter 
9044,'acq',diversified building materials group monier mnra said talks taking place lead britains redland rdld making offer monier shares already hold chairman bill locke said redland already holds moniers issued shares said brief notice australian stock exchange locke said shareholders would advised soon discussions progressed recommended keep shares monier shares trading high dlrs today previous peak yesterdays close well dlrs monier largest concrete roof tile manufacturer australia zealand worlds largest marketer according annual report ended june recently reported first half fell dlrs year earlier australian housing downturn although foreign earnings rose reuter 
